team,gf,ga,xg,xga,poss,sh,sot,Wins,Draws,Losses,Matches,Win%,Draw%,Loss%,Home_GF,Home_GA,Home_Win%,Away_GF,Away_GA,Away_Win%
Alaves,0.93,1.5,1.09,1.35,42.6,9.86,2.96,44,45,89,178,24.72,25.28,50.0,1.03,1.1,36.36,0.83,1.89,13.33
Almeria,1.21,1.84,1.24,1.64,45.74,12.07,4.18,14,20,42,76,18.42,26.32,55.26,1.34,1.53,28.95,1.08,2.16,7.89
Athletic Club,1.31,1.01,1.3,1.05,49.55,12.1,3.89,84,67,65,216,38.89,31.02,30.09,1.56,0.85,50.93,1.05,1.18,26.85
Atletico Madrid,1.69,0.87,1.53,0.96,50.73,12.41,4.5,128,52,36,216,59.26,24.07,16.67,1.93,0.76,71.56,1.46,0.97,46.73
Barcelona,2.12,0.94,1.94,1.01,65.16,14.69,5.52,142,38,36,216,65.74,17.59,16.67,2.3,0.83,72.9,1.95,1.05,58.72
Cadiz,0.84,1.43,1.0,1.43,40.34,9.8,2.91,35,53,64,152,23.03,34.87,42.11,0.93,1.26,26.32,0.74,1.59,19.74
Celta Vigo,1.21,1.38,1.22,1.25,51.56,10.81,3.78,63,64,89,216,29.17,29.63,41.2,1.36,1.2,38.89,1.06,1.56,19.44
Eibar,0.89,1.42,1.15,1.29,47.82,11.34,3.41,17,21,38,76,22.37,27.63,50.0,0.97,1.21,26.32,0.82,1.63,18.42
Elche,0.91,1.53,0.89,1.67,47.13,8.76,2.77,24,31,59,114,21.05,27.19,51.75,1.05,1.28,26.32,0.77,1.77,15.79
Espanyol,1.03,1.55,1.04,1.45,44.58,10.5,3.29,30,41,68,139,21.58,29.5,48.92,1.2,1.41,30.0,0.86,1.7,13.04
Getafe,0.93,1.12,0.98,1.16,42.88,10.53,3.12,58,72,86,216,26.85,33.33,39.81,1.04,0.91,36.11,0.82,1.32,17.59
Girona,1.74,1.37,1.49,1.4,54.84,11.64,4.23,47,21,34,102,46.08,20.59,33.33,2.2,1.29,60.78,1.27,1.45,31.37
Granada,1.19,1.64,1.1,1.48,43.88,10.25,3.24,41,38,73,152,26.97,25.0,48.03,1.28,1.34,36.84,1.11,1.95,17.11
Huesca,0.89,1.39,1.02,1.27,48.34,10.63,3.42,7,13,18,38,18.42,34.21,47.37,0.89,1.11,26.32,0.89,1.68,10.53
Las Palmas,0.98,1.42,0.9,1.63,55.75,10.44,3.41,16,16,32,64,25.0,25.0,50.0,1.09,1.22,28.12,0.88,1.62,21.88
Leganes,0.83,1.39,0.95,1.32,43.28,9.81,3.22,14,21,29,64,21.88,32.81,45.31,0.94,1.41,31.25,0.72,1.38,12.5
Levante,1.26,1.63,1.26,1.5,49.21,10.77,3.54,31,32,51,114,27.19,28.07,44.74,1.44,1.39,33.33,1.09,1.88,21.05
Mallorca,0.96,1.39,1.04,1.3,44.38,10.48,3.2,51,45,82,178,28.65,25.28,46.07,1.09,1.0,40.0,0.83,1.78,17.05
Osasuna,1.08,1.33,1.08,1.27,46.61,11.04,3.27,70,64,82,216,32.41,29.63,37.96,1.21,1.33,38.53,0.95,1.34,26.17
Rayo Vallecano,1.01,1.27,1.15,1.24,50.23,13.13,3.86,41,42,57,140,29.29,30.0,40.71,1.29,1.24,37.14,0.73,1.3,21.43
Real Betis,1.33,1.25,1.33,1.29,52.76,12.31,4.07,87,61,68,216,40.28,28.24,31.48,1.56,1.13,49.07,1.1,1.36,31.48
Real Madrid,2.01,0.79,1.84,1.0,59.82,15.67,5.7,146,46,24,216,67.59,21.3,11.11,2.24,0.68,74.77,1.78,0.9,60.55
Real Sociedad,1.3,1.04,1.33,1.04,55.0,11.38,3.82,97,54,65,216,44.91,25.0,30.09,1.39,0.92,49.07,1.2,1.16,40.74
Sevilla,1.32,1.12,1.25,1.17,55.74,12.24,3.87,92,64,60,216,42.59,29.63,27.78,1.41,1.01,50.0,1.24,1.22,35.19
Valencia,1.18,1.36,1.14,1.32,47.13,10.25,3.27,64,67,85,216,29.63,31.02,39.35,1.43,1.05,42.59,0.93,1.67,16.67
Valladolid,0.83,1.59,0.98,1.56,45.64,9.99,3.0,29,42,69,140,20.71,30.0,49.29,0.94,1.29,27.14,0.71,1.9,14.29
Villarreal,1.67,1.26,1.61,1.26,53.6,12.26,4.34,94,56,65,215,43.72,26.05,30.23,1.93,1.26,47.66,1.41,1.25,39.81
